trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-121.40282812299515,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-204.69524928221392,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-87.63145464726213,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",35,15,3.9418221661681474,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-75.1634212365167,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-180.479319761205,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,14,1.6040660598816594,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-177.9047445892458,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-104.10281509794679,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",30,0,-131.59456045208458,"{0: 17, 1: 7, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-75.12887735355622,"{0: 18, 1: 5, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-60.90397261377756,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-75.47603073077785,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-125.33083686117936,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-51.118986274704206,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-225.71478615816508,"{0: 15, 1: 6, 2: 5, 3: 0, 4: 4}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-81.27794558844484,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-132.00169656994635,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-218.93694852391303,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-111.31792755234716,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-28.72818052838522,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,14,-71.86621942852427,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 2}",1
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,7,-118.3097614193614,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 2}",1
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-72.16296357345398,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-70.7666670020141,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-121.15845560392455,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",30,0,-172.43042339509387,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-78.50298554734634,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-127.35553549798308,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",30,0,-130.12268199954,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-176.2759731857679,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,14,-108.48738965407671,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 2}",1
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-157.8902881537963,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-36.49446966821539,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-66.05455891922104,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,2,-73.71103965370277,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 1}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-66.19934552802162,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-9.057943825839786,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,0,-115.23078735276697,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",30,0,-181.687940653212,"{0: 17, 1: 0, 2: 11, 3: 0, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",30,0,-63.97990740430188,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-75.68881735431962,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,9,-7.935901443272774,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,0,-68.65338369798457,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,1,-86.05186360790232,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-49.68334548144966,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",30,15,-71.7503816237945,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,2,-113.78835874010414,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 1}",1
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",20,0,-16.93978812953816,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-169.84765137101735,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",30,0,-106.29640157134558,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
