trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-40.33466085365934,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-114.18393010124088,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-99.20308309437154,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-118.82620727993404,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-156.7372359315605,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-126.24407367748456,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-153.3749929110395,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-222.75184111497168,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-199.91669535055198,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-76.32875273954795,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-92.72432696174306,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-65.57292549233352,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-123.19992267872894,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-255.29355259623173,"{0: 12, 1: 3, 2: 11, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-133.60949713495137,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-156.51805909014612,"{0: 18, 1: 7, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-59.37750594527108,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-17.48765781790077,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-146.9160058712919,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-170.46436937403638,"{0: 20, 1: 6, 2: 0, 3: 0, 4: 4}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-41.10190211781427,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-105.42575082679635,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-123.6649046513916,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-250.08886191466482,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 5}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-58.149315483547475,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-169.65568968549854,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-68.73243018526621,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-32.520969200095806,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-119.01592318302312,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-118.36872485845419,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
